geneID	logFC	logCPM	PValue	dir	qvalue
g2	-0.71174508285429	4.83454657077456	0.00395836330094426	-1	0.0110776513863596
g3	-1.49483825212907	4.05942951520458	8.64176936939845e-05	-1	0.000376805660163558
g4	2.07021303209497	2.15326393855382	1.01787838732431e-05	1	5.50042871382331e-05
g9	1.27751718911183	4.65178073789643	1.36345886081445e-07	1	1.1075465370708e-06
g10	-1.54397028248335	2.90060202899142	2.12716731695133e-05	-1	0.000106745303932273
g11	-2.15984705124768	4.10877006144996	1.68534850130523e-16	-1	6.35119598092574e-15
g12	0.601463175706721	5.57010471026116	0.0198888642117364	1	0.0447244832383889
g15	-1.67313334836542	3.19723829962577	3.69221681761556e-06	-1	2.21430104463355e-05
g17	-1.38519766453731	4.78386193831109	7.84714095849461e-11	-1	1.19247725384807e-09
g19	-2.3270461883487	4.77079814860048	1.48008627568789e-20	-1	9.89083741622731e-19
g20	-1.29933217530097	4.76052817038737	4.47095028125916e-06	-1	2.62785873127929e-05
g21	-0.47005920781476	5.37039797920108	0.0102651446309618	-1	0.0253279878648132
g23	1.40724501206223	3.00489297708542	0.0163867992043483	1	0.0378907312786552
g31	-1.13864854901661	4.83530226373377	1.68604598213566e-07	-1	1.34570984583068e-06
g33	-1.32165986271947	3.29246835906984	0.000654882923103425	-1	0.00229171747265238
g34	-2.9934069207541	4.18635998353579	1.53067970798332e-22	-1	1.28496638731104e-20
g42	-4.44565603682786	2.81973061390532	1.43004861646141e-10	-1	2.07810887551021e-09
g50	-1.36396150278925	4.94445859156336	1.25568631223929e-11	-1	2.22020197754849e-10
g52	-1.36109472224328	4.12665398242482	9.39138733457782e-07	-1	6.43989396639406e-06
g55	-3.0253573795282	6.70095459332302	0.000538764302852091	-1	0.0019309011107214
g57	0.706155042349555	5.64518565366958	0.00753899306774187	1	0.0194396708006794
g59	0.743639210612614	6.51814008798875	0.0166684641336142	1	0.0384258743589069
g60	2.83682155508421	1.49436446885874	0.0014676236690886	1	0.00463666511693562
g61	1.40678038720839	1.64645157732489	0.00943242930222159	1	0.023548789154798
g67	-2.52508648135939	2.79746564818887	2.36597046822492e-06	-1	1.48471719262945e-05
g73	-1.97560015337936	5.41305210354236	8.16245955490135e-20	-1	4.98976717904452e-18
g74	-2.92082895290332	5.02471998059836	2.18654774616712e-12	-1	4.35246386697724e-11
g75	-0.824868418955866	5.3707830160533	0.00313703485216081	-1	0.00903288049629283
g76	-1.10097169782876	8.70499846277649	0.000404251262665458	-1	0.00149951364765305
g78	-0.87729472262217	3.62879785820862	0.00228377805424185	-1	0.00684910608657507
g81	-1.00371290716234	3.53222135824745	0.0017443776579256	-1	0.00539924028239976
g84	-0.9936629837359	3.91555747995444	0.00357067117766514	-1	0.0101377097771472
g90	-1.00392854643554	4.34579814081905	0.00024457150691836	-1	0.000959469404898683
g92	-1.4760033686516	4.37481993727328	2.33162493780332e-06	-1	1.46615737614412e-05
g95	-1.02866304496792	5.5117050092124	8.2766191891277e-06	-1	4.57243367680744e-05
g103	-0.988799632237052	4.99045445616555	0.000497464754076876	-1	0.00180027692200239
g108	-0.652478038768625	6.4178674061589	0.00165812656784946	-1	0.00516272138431265
g110	-1.47559233091236	2.63436714251194	7.44645188981534e-05	-1	0.000330104556582296
g112	-3.05753668942284	1.792874610477	0.000345151794286876	-1	0.00130412226680685
g114	-1.04831323368002	5.39508135337225	8.61064893554763e-06	-1	4.73629713177694e-05
g115	-0.552046076318647	4.57117275890833	0.0115346868915008	-1	0.0279924029074742
g121	-4.88567866234187	4.49458272304848	3.90047101632395e-07	-1	2.88880533557295e-06
g122	-1.35015953865225	2.62692952658452	0.00612523651759624	-1	0.0162418779279896
g131	0.761612347048463	5.43245650632259	0.000504681681320117	1	0.00182363399137637
g132	0.653286451482988	5.37522198362241	0.00182218617061461	1	0.00560282664399255
g142	1.01039762567851	5.18735524746264	0.00114595900189852	1	0.00374241095808959
g154	0.880242270498704	4.35533800577595	0.000114103597433832	1	0.000482752892170902
g155	-0.764347410783724	5.98108808264597	0.00076937070739439	-1	0.00263945215993181
g156	-1.82038786657358	3.74502920961436	2.63978080942949e-07	-1	2.02939633645244e-06
g159	-0.726517350409769	6.53814832591404	9.36334086953728e-05	-1	0.000404579053876914
g168	-0.529519805625255	5.66399768179463	0.0194523164063683	-1	0.0438995487471204
g170	-8.4911217976096	2.09647905380421	4.09891662377168e-18	-1	1.93847226176525e-16
g171	-8.17033025599697	1.95787319138978	1.33551951354665e-14	-1	3.83169451899957e-13
g178	-1.87373282997463	5.13199752833562	1.15891122092359e-19	-1	6.98528057474336e-18
g192	-1.55114200261633	2.30049107117533	0.000434953425322893	-1	0.00159688241018564
g193	-0.86218831260726	3.45087714383029	0.00597631521992744	-1	0.0158900717783762
g194	-0.707846099064851	4.49475420470856	0.00530064598440319	-1	0.0143021066197352
g195	-1.58667872782555	3.34710713685273	1.06737606122913e-06	-1	7.20897617248227e-06
g198	1.13307717580434	4.73916750748726	0.00126639881342397	1	0.00408551269374168
g199	-1.13612846671511	5.59229328969814	1.19590404986096e-05	-1	6.34767226070748e-05
g200	-6.12830997431413	1.97043169183794	2.54310251747916e-05	-1	0.000125712106526801
g204	-1.10959504671879	4.27804790328637	7.10322338695432e-07	-1	4.96257015715854e-06
g207	-1.08704819900816	3.2050909925457	0.0012776476741165	-1	0.00411501611310267
g208	4.15330355477336	3.71904468959212	1.77551932551718e-06	1	1.14114769553401e-05
g210	-1.14949525878858	3.90070865650682	9.51191535515446e-05	-1	0.000410010806514851
g217	-0.829846982680166	6.99078188537464	1.4954828366477e-06	-1	9.7870436979882e-06
g221	-0.904358892394332	4.4264485802171	0.00211593481089155	-1	0.00640015255282039
g224	1.6112579017444	4.85709657572092	1.13068186318475e-06	1	7.59600759663108e-06
g227	-2.71605311717776	3.4743844929323	5.68342778372106e-15	-1	1.72490830818208e-13
g228	-1.53043301518902	5.45051181566743	2.1694039330102e-14	-1	6.00788080186788e-13
g229	-0.771432380315995	4.78016850671427	0.0200986749523888	-1	0.045111430856942
g230	-1.36002341948423	4.96937677801301	3.03387227443949e-05	-1	0.000146969281848853
g237	-1.41670882576346	7.50038673982647	5.02821124614712e-07	-1	3.62955550468278e-06
g242	-1.35086849530481	6.03142386712769	1.10217565184622e-11	-1	1.9681838735624e-10
g245	-2.35721632760879	0.566931639381839	0.00559445296622934	-1	0.0149877289501149
g248	-1.11031289069802	4.24357816228068	2.16941380920243e-05	-1	0.000108637296593945
g249	1.27975842193297	3.83895259987035	0.00417472168332725	1	0.0116016610075986
g255	0.755076872218987	7.21869067635384	0.000184472662324522	1	0.00074600314750969
g265	1.28478572584356	4.06695444820831	0.000645011162864153	1	0.00226048048900828
g266	0.771091319679055	7.98250951921645	0.000134699429559624	1	0.000561173731900096
g270	-1.51215229775925	3.03075564546843	1.56658961925954e-05	-1	8.1169938423373e-05
g275	3.26730962113838	1.87758579634905	0.000129556460608808	1	0.00054163511159517
g278	-7.22528352693616	0.927733084665058	0.00648938981552891	-1	0.0170707445049573
g280	-2.27060634837316	5.15399262915684	4.89923622542339e-14	-1	1.28406534833935e-12
g287	-2.01050646653921	6.06034485648897	1.58076650257019e-18	-1	8.00351378877774e-17
g299	1.00821043708675	7.76463008269459	0.00899472020890459	1	0.0225896813089646
g302	-0.803942610999197	6.60166876283706	0.00175185190165556	-1	0.0054192566445981
g303	-1.20493693862753	6.37761099042772	1.05855214765229e-06	-1	7.15836741457635e-06
g309	1.24791073828807	8.16118822169064	0.0026518720005121	1	0.00778697894473517
g311	1.29977287459362	4.02462131458477	2.21291416220212e-06	1	1.39886859407359e-05
