geneID	logFC	logCPM	PValue	dir	qvalue
g11	-1.64771435233568	4.10877006144996	2.35596864962266e-11	-1	5.84725875462287e-10
g14	0.800494392948589	3.22169096851298	0.01538261948769	1	0.042123085535265
g15	-1.9334875763857	3.19723829962577	8.23002167318917e-09	-1	1.23067134373651e-07
g17	-1.22073470796822	4.78386193831109	1.18328936530476e-09	-1	2.10082677909471e-08
g19	-1.8779491155872	4.77079814860048	1.91407838391959e-14	-1	8.45731800106403e-13
g20	-1.13266541241622	4.76052817038737	4.17248620036474e-05	-1	0.000261530900260555
g31	-1.34289373641433	4.83530226373377	5.06314791309042e-11	-1	1.18165744895748e-09
g34	-2.8646380343584	4.18635998353579	1.5624010730484e-25	-1	2.92345619911786e-23
g37	0.653815421080729	6.43590309529547	0.00141887276977456	1	0.00559374307523161
g42	-2.13441657979697	2.81973061390532	2.88546626707167e-05	-1	0.000188378225530486
g50	-0.944022548355508	4.94445859156336	1.8172248224173e-07	-1	2.03874054894554e-06
g52	-0.635740478237446	4.12665398242482	0.00687692190174048	-1	0.0213902291820832
g61	1.37491349456266	1.64645157732489	0.00597521325719135	1	0.0189946282860457
g67	-1.60746538216634	2.79746564818887	0.000179860994615519	-1	0.000940979548294853
g73	-2.04522059215997	5.41305210354236	1.19424895316616e-22	-1	1.57655515179321e-20
g74	-2.74744499775153	5.02471998059836	1.93575657926683e-11	-1	4.89466628350923e-10
g78	-1.06919385166202	3.62879785820862	0.000161942271687054	-1	0.000859564332057728
g84	-1.11267933671506	3.91555747995444	0.000204184127638939	-1	0.0010511086264437
g87	0.695002174368989	3.66242454270964	0.00861441442371612	1	0.0258957137580501
g90	-1.09571783386488	4.34579814081905	2.00863531872435e-05	-1	0.000137214904224262
g92	-1.42448714337832	4.37481993727328	1.66129558762296e-06	-1	1.50834423858527e-05
g95	-0.6985428451559	5.5117050092124	0.00126394958501659	-1	0.00507513849046223
g103	-1.25064587371721	4.99045445616555	3.29123417268793e-06	-1	2.77076592049683e-05
g104	-1.50726867613185	5.97030614610758	1.56253874368142e-08	-1	2.19899991409659e-07
g109	-0.62741106529822	4.88375365964713	0.0131440156952169	-1	0.036966792540802
g110	-1.2600645942355	2.63436714251194	0.000254460031585154	-1	0.00126717680158513
g112	-2.75130066321718	1.792874610477	0.00130074297950814	-1	0.00519862322307877
g114	-1.02586061699958	5.39508135337225	3.6787105378801e-06	-1	3.05631248471444e-05
g121	-3.51516422157852	4.49458272304848	2.81575879689995e-05	-1	0.000184555278073997
g132	0.618294527507986	5.37522198362241	0.00217881695001841	1	0.0080931785138091
g139	-0.994519797078814	4.20933969703984	1.39905108132892e-05	-1	9.92247236916143e-05
g140	0.803049897247398	3.64472244213543	0.00756239869031765	1	0.0232070300938755
g153	0.824143388469078	3.74252162645687	0.0026139630736063	1	0.00941061693455921
g156	-1.41088770761901	3.74502920961436	1.28186002259097e-05	-1	9.18211183958474e-05
g158	-0.910185453982134	5.40354478700031	0.000136181130274443	-1	0.000739239546227412
g159	-0.41775207806861	6.53814832591404	0.0152199694209432	-1	0.0417828908207478
g162	-1.42964510649494	2.41971952186889	0.00463494966510981	-1	0.0153650973492271
g168	-0.622117983274427	5.66399768179463	0.00362955308984804	-1	0.0124801411612896
g170	-5.63735071952393	2.09647905380421	4.0822998839605e-18	-1	3.23786551930622e-16
g171	-8.36731433269081	1.95787319138978	1.81909349833281e-17	-1	1.30913892632527e-15
g178	-1.75480057378217	5.13199752833562	1.09520044556389e-18	-1	9.38905306280627e-17
g179	-0.883500517596326	2.54586326219134	0.010745602509708	-1	0.0311874662535603
g181	-0.738139851737834	4.36693230076622	0.00139600196164423	-1	0.00551582266078965
g187	0.624605213392819	4.35109497215883	0.00400066310925357	1	0.0135444401510628
g188	-1.22784901378108	6.31226568501371	0.0184789741736764	-1	0.0490659632612499
g192	-1.52558679997969	2.30049107117533	0.000831524501111185	-1	0.00353332231732039
g193	-1.41909398816316	3.45087714383029	8.31040028745572e-06	-1	6.29216021764504e-05
g195	-1.5137319202027	3.34710713685273	8.90275940509732e-06	-1	6.70057981388192e-05
g199	-1.10684776483555	5.59229328969814	1.0594278675746e-05	-1	7.76203792699096e-05
g203	1.01808139081121	3.23727171394493	0.00440151009211511	1	0.0147045015000983
g204	-0.922385869448905	4.27804790328637	6.90211989937638e-06	-1	5.33263675294707e-05
g210	-0.726014909802582	3.90070865650682	0.00683035119973582	-1	0.0212822903440364
g212	4.23323805435861	8.27472689854148	0.0186024837006956	1	0.0493208778057625
g220	-0.558023391116544	7.77230730853169	0.0185302164244987	-1	0.0491716854140293
g227	-2.89149756904326	3.4743844929323	1.2355343207722e-18	-1	1.05500902834826e-16
g228	-1.00541938517354	5.45051181566743	4.59665876386897e-08	-1	5.87356907844017e-07
g231	-1.55149478020803	3.85979532542057	1.85177526853496e-07	-1	2.07317899210902e-06
g235	-1.05043190376263	5.53332607396224	0.00234902312101189	-1	0.00861976117290822
g237	-0.877949737556476	7.50038673982647	0.001020743572361	-1	0.00420934461289075
g242	-0.653765506779129	6.03142386712769	0.000361513146604107	-1	0.00171231342474734
g244	-1.80756980111086	1.81833551625263	0.0176980176616456	-1	0.0473781965716957
g245	-5.36511373825015	0.566931639381839	0.00116309190364781	-1	0.00472304426923825
g248	-1.61057852415139	4.24357816228068	3.71028225652817e-09	-1	5.95804877581889e-08
g255	0.452462217009278	7.21869067635384	0.0186691915362594	1	0.0494733575710873
g261	-5.20995899215593	2.83028904937053	0.00816198800098673	-1	0.0247644751558421
g275	2.01437359508383	1.87758579634905	0.00774004137518774	1	0.0236812470227911
g280	-2.59923513757795	5.15399262915684	5.27331046413456e-17	-1	3.43851801718932e-15
g281	-0.602979097341958	4.9162526239486	0.00417726139263536	-1	0.014057915334177
g287	-0.483540119973447	6.06034485648897	0.014596417440807	-1	0.0403657255482954
g296	0.460282883378738	6.43663361669857	0.00775929188330982	1	0.0237268056316416
g297	1.7590831799826	4.32054301551953	1.08667393982752e-10	1	2.37632620296835e-09
g307	1.0238243640476	2.73610106974674	0.00356857218373048	1	0.0123070402413781
g308	0.731587323635025	4.58476582861879	0.00155055600623349	1	0.00603998264701887
g309	1.58552328940945	8.16118822169064	4.80330385152549e-05	1	0.000296452701294891
g310	0.75119878937192	4.31341558507085	0.0125128607881828	1	0.0354418505252228
g311	0.984219700631721	4.02462131458477	0.00015724642570788	1	0.000837946653883645
g316	-4.48074264873869	2.01710459999106	0.000140790629106939	-1	0.000761189134955556
g318	0.653886813690078	4.73060911742493	0.00397538048384014	1	0.0134712184647673
g321	1.1711542816465	3.84293106153664	0.000633680546971594	1	0.00279132665753398
g324	0.859477354496547	5.05949967411715	0.000839119548310723	1	0.00356348419983228
g329	-1.686876624437	5.1896569831173	4.78095244783223e-13	-1	1.68650057004023e-11
g330	-1.00150713875637	5.0943479587251	0.000231562024508045	-1	0.00116883688561204
g344	-1.54780281518372	1.94995136951794	0.0134248512421993	-1	0.0376376730354182
g350	2.48453423559032	8.56138031388134	8.51604043452418e-25	1	1.46598526456073e-22
g357	2.51029356464919	7.24119187094289	6.04825973306307e-13	1	2.10252751108322e-11
g362	-1.3708579018377	5.21576614456254	0.0156905872852819	-1	0.0428301480660531
g367	1.31013644863408	2.84370760919426	0.000481212309734668	1	0.00219938965184167
g372	4.22071958884595	4.55379332378407	0.000146367570655169	1	0.000788369808600229
g374	1.28593726857321	4.64120842682469	0.00028032966534516	1	0.00138051661866442
g376	0.989282684730072	4.87739163243269	0.00242572233779601	1	0.00885440089307795
g377	0.863969482995806	4.22017128450859	0.000529957999867118	1	0.00238919678213716
g378	-0.743034369473264	6.91805957922043	0.00555356538111853	-1	0.0178627234485663
g379	0.838676470669416	5.94261589508281	0.0130248864797907	1	0.0366844904806461
g384	-1.91895160905413	5.47624999717686	4.41096258168782e-06	-1	3.5871161312456e-05
g385	-1.54043514017428	4.41342635131844	1.08175491026093e-07	-1	1.27967026712451e-06
g387	-2.52855007289597	3.46943403122214	2.15369688531812e-13	-1	7.93548794148551e-12
g389	0.913644310918904	6.74827517003329	0.000884595320190112	1	0.00372937345216513
g391	0.918467024013704	4.85837158076442	0.000400697385201378	1	0.00187276419086952
g394	0.682107406483485	5.30066112920714	0.00424080811424921	1	0.0142428139538652
g397	-4.68637206335251	3.51380520171446	1.25750660241635e-37	-1	6.44262549304644e-35
g398	2.93284675568362	0.475936354280987	0.00270727475148053	1	0.00969142207658595
g399	-2.32319829447826	5.76299735170656	5.11900372669543e-20	-1	5.24527248528725e-18
g402	0.719891977234483	6.1368681049093	0.0173736411053393	1	0.0466491152114663
g404	-1.30099638147177	4.9963603404027	2.03508661461785e-07	-1	2.256325361454e-06
g405	-1.82976430518731	4.77904255426217	6.92329213338292e-13	-1	2.37600319180436e-11
g407	-1.02119331270719	3.24319640615618	0.00132186459014894	-1	0.00526640250273606
g408	-3.58898255747928	2.81684004837047	1.26474765423972e-13	-1	4.90357477908655e-12
g411	-3.67988606130119	1.02726803496253	0.000728979928457242	-1	0.0031522925373838
g416	0.662105369762862	4.74051966539416	0.0172102668031695	1	0.0463376527866117
g417	1.12680647951181	2.30085338589548	0.000999364285910582	1	0.00413783350090897
g426	0.845659770302319	4.99606109994831	0.000127356228537407	1	0.000696606844348734
g431	1.05096368006894	4.20702102319654	5.82729116630528e-06	1	4.57689905556614e-05
g438	-5.66825348795738	1.02984816102853	0.0184604039967276	-1	0.0490348072091822
g439	-0.769795217827132	7.05572525974606	0.00156671422596477	-1	0.0060929977795608
g440	1.35716157661594	3.12451374234165	0.000250401546398696	1	0.00125077098904242
g441	1.0228020307166	7.87139752584057	0.000129795183789082	1	0.000708326848788603
g444	1.35986622103496	6.74416024637588	0.000806826224055439	1	0.00344128576595143
g446	0.973391658374053	6.09556252140819	0.000278457706737127	1	0.00137238958625046
g462	1.79726735260376	3.06369896722917	0.0012001307642235	1	0.00484965517080964
