geneID	logFC	logCPM	PValue	dir	qvalue
g5	-1.30603126546126	2.55760551952861	0.0019556376601397	-1	0.00688354947915169
g6	-2.40736868605357	7.07943628754083	1.28956429769097e-16	-1	6.66728559716478e-15
g8	-0.991678486718052	8.70349083893479	0.000142443605398098	-1	0.00073048480705986
g9	0.714698500983837	2.56373414114688	0.00875951943261111	1	0.024243330972036
g10	1.27665335605397	1.90128417802227	0.00201483794267576	1	0.00705391271872996
g11	-0.817841229605253	7.02939108229341	0.000169869430284638	-1	0.000853047536244872
g25	-0.570120149256818	6.93926319131092	0.019161593638681	-1	0.046642413335398
g30	0.900559067290136	5.77764633646536	0.000286909399841931	1	0.0013441507035198
g40	-2.41786205652592	5.33789253288771	2.4541250049481e-16	-1	1.22674947632546e-14
g41	0.859585633463199	5.68004257349746	0.00328222002888314	1	0.0105920786340522
g44	-1.03294728021654	7.54333868156296	3.82268636986345e-05	-1	0.000235034638900139
g46	0.661177365575737	4.10371260746044	0.0100452957996999	1	0.0271410786703207
g50	0.817963120209531	3.33547214657788	0.0177138368778305	1	0.0436607086315835
g52	2.13044416040199	2.1957512684885	0.000331682304369432	1	0.00152078123410492
g57	0.954280227398733	5.43934062502555	0.012602043118496	1	0.0328199142619524
g58	0.816471650394007	6.26820772508196	0.00632319016075263	1	0.0184709169946255
g61	0.76145484234876	6.13143999675462	0.00476272825711163	1	0.0145163571625606
g64	0.47956620836242	5.41661428874801	0.0190875558187852	1	0.0464968493621451
g67	-3.07646542585454	4.7416265798058	8.83071678596419e-27	-1	1.50467735148668e-24
g75	-0.658497264873379	5.75131093151683	0.0107513701565238	-1	0.0286903306846089
g77	1.44599307633752	4.25365441182779	2.48965634303208e-05	1	0.000161753368838573
g78	0.687740379312661	4.08937593233259	0.00209832925539331	1	0.00729149880465188
g79	0.811584031576473	4.02604754870997	0.00022699336675799	1	0.00109663092249083
g80	-1.05285449979135	2.90222238241466	0.00369319580756141	-1	0.0116854790649388
g89	4.99145023493039	0.766841177989621	0.00216457538958504	1	0.00748585505805132
g92	-0.817759352172384	5.57021020847107	0.00658027527952415	-1	0.0191079570394599
g95	1.04209621499085	5.22434661071398	2.87479892235186e-05	1	0.000183132915746049
g98	0.831356147002559	5.11521995584022	0.0142176960983088	1	0.0363369968757481
g99	1.27128120169646	3.50659871586274	1.81722761210757e-07	1	2.04060602058727e-06
g100	-1.07683242405896	5.59496305887107	0.000584321470743401	-1	0.0024783071903067
g101	1.11544880618616	4.62379020711175	0.00302709453244249	1	0.00992402833582242
g105	-2.48985869409619	7.4279832004646	1.56639113722623e-06	-1	1.40152668191544e-05
g128	-2.77178587921487	8.73884713402384	5.03781675419686e-14	-1	1.87316924665062e-12
g136	0.706484345210685	5.08926254325842	0.0026423046939889	1	0.00884756672568565
