seqnames,start,end,width,strand,dens,window_scores,coverage
scaffold_1_RagTag,1,100000,100000,*,33251,252866,7.60476376650326
scaffold_1_RagTag,100001,200000,100000,*,29256,243095,8.30923571233251
scaffold_1_RagTag,200001,300000,100000,*,36050,258482,7.17009708737864
scaffold_1_RagTag,300001,400000,100000,*,28083,198729,7.07648755474842
scaffold_1_RagTag,400001,500000,100000,*,27993,207035,7.39595613189012
scaffold_1_RagTag,500001,600000,100000,*,34781,263660,7.58057560162158
scaffold_1_RagTag,600001,700000,100000,*,34295,270104,7.87590027700831
scaffold_1_RagTag,700001,800000,100000,*,32820,242388,7.3853747714808
scaffold_1_RagTag,800001,900000,100000,*,34311,257347,7.50042260499548
scaffold_1_RagTag,900001,1000000,100000,*,29941,258455,8.63214321498948
scaffold_1_RagTag,1000001,1100000,100000,*,29965,244923,8.17363590855999
scaffold_1_RagTag,1100001,1200000,100000,*,30537,253823,8.3119821855454
scaffold_1_RagTag,1200001,1300000,100000,*,30875,230328,7.46001619433198
scaffold_1_RagTag,1300001,1400000,100000,*,30745,244071,7.9385591153033
scaffold_1_RagTag,1400001,1500000,100000,*,32247,230775,7.15647967252768
scaffold_1_RagTag,1500001,1600000,100000,*,27092,193030,7.12498154436734
scaffold_1_RagTag,1600001,1700000,100000,*,28469,240618,8.45193016965822
scaffold_1_RagTag,1700001,1800000,100000,*,31021,264091,8.51329744366719
scaffold_1_RagTag,1800001,1900000,100000,*,30361,261128,8.60077072560192
scaffold_1_RagTag,1900001,2000000,100000,*,30491,234003,7.67449411301696
scaffold_1_RagTag,2000001,2100000,100000,*,34528,286819,8.30685240963855
scaffold_1_RagTag,2100001,2200000,100000,*,28570,240193,8.40717535876794
scaffold_1_RagTag,2200001,2300000,100000,*,29508,286671,9.71502643350956
scaffold_1_RagTag,2300001,2400000,100000,*,30319,230303,7.59599591015535
scaffold_1_RagTag,2400001,2500000,100000,*,34321,279982,8.15774598642231
scaffold_1_RagTag,2500001,2600000,100000,*,32777,267919,8.17399395917869
scaffold_1_RagTag,2600001,2700000,100000,*,30950,240871,7.78258481421648
scaffold_1_RagTag,2700001,2800000,100000,*,31099,249567,8.02492041544744
scaffold_1_RagTag,2800001,2900000,100000,*,32456,311772,9.6059896475228
scaffold_1_RagTag,2900001,3000000,100000,*,34600,268737,7.76696531791907
scaffold_1_RagTag,3000001,3100000,100000,*,30438,250530,8.23082988369801
scaffold_1_RagTag,3100001,3200000,100000,*,30933,223244,7.21701742475673
scaffold_1_RagTag,3200001,3300000,100000,*,25159,194263,7.72141182081959
scaffold_1_RagTag,3300001,3400000,100000,*,32655,256755,7.8626550298576
scaffold_1_RagTag,3400001,3500000,100000,*,34490,257185,7.45679907219484
scaffold_1_RagTag,3500001,3600000,100000,*,31274,266198,8.5117989384153
scaffold_1_RagTag,3600001,3700000,100000,*,33593,259681,7.73021165123687
scaffold_1_RagTag,3700001,3800000,100000,*,34580,259613,7.50760555234239
scaffold_1_RagTag,3800001,3900000,100000,*,35051,273848,7.81284414139397
scaffold_1_RagTag,3900001,4000000,100000,*,35177,263794,7.49904767319555
scaffold_1_RagTag,4000001,4100000,100000,*,34589,261315,7.55485848101998
scaffold_1_RagTag,4100001,4200000,100000,*,35628,275301,7.72709666554395
scaffold_1_RagTag,4200001,4300000,100000,*,31881,250680,7.86299049590665
scaffold_1_RagTag,4300001,4400000,100000,*,34826,280237,8.04677539769138
scaffold_1_RagTag,4400001,4500000,100000,*,34656,261649,7.54989035087719
scaffold_1_RagTag,4500001,4600000,100000,*,32488,242858,7.47531396207831
scaffold_1_RagTag,4600001,4700000,100000,*,33233,259789,7.81719977131165
scaffold_1_RagTag,4700001,4800000,100000,*,30921,227041,7.34261505125966
scaffold_1_RagTag,4800001,4900000,100000,*,33097,278925,8.42750098196211
scaffold_1_RagTag,4900001,5000000,100000,*,32750,255197,7.7922748091603
scaffold_1_RagTag,5000001,5100000,100000,*,35273,292157,8.28273750460692
scaffold_1_RagTag,5100001,5200000,100000,*,32117,253785,7.90188996481614
scaffold_1_RagTag,5200001,5300000,100000,*,25069,203814,8.13012086640871
scaffold_1_RagTag,5300001,5400000,100000,*,31489,242837,7.71180412207438
scaffold_1_RagTag,5400001,5500000,100000,*,31955,227919,7.13249882647473
scaffold_1_RagTag,5500001,5600000,100000,*,33763,229648,6.80176524597933
scaffold_1_RagTag,5600001,5700000,100000,*,33824,277379,8.20065633869442
scaffold_1_RagTag,5700001,5800000,100000,*,29901,206129,6.89371592923314
scaffold_1_RagTag,5800001,5900000,100000,*,33394,238359,7.13777924177996
scaffold_1_RagTag,5900001,6000000,100000,*,31570,234977,7.44304719670573
scaffold_1_RagTag,6000001,6100000,100000,*,35890,269096,7.49779882975759
scaffold_1_RagTag,6100001,6200000,100000,*,36008,279167,7.75291601866252
scaffold_1_RagTag,6200001,6300000,100000,*,35759,261857,7.3228278195699
scaffold_1_RagTag,6300001,6400000,100000,*,31240,251388,8.04699103713188
scaffold_1_RagTag,6400001,6500000,100000,*,35603,249745,7.01471786085442
scaffold_1_RagTag,6500001,6600000,100000,*,34391,262812,7.64188305079817
